t, elevL, elevR, throttle
0,0.19141,0.19141,5.0797
0.01,0.12633,0.22943,5.1143
0.02,0.061258,0.26746,5.149
0.03,-0.0038173,0.30549,5.1836
0.04,-0.068892,0.34352,5.2183
0.05,-0.13397,0.38154,5.2529
0.06,-0.19904,0.41957,5.2876
0.07,-0.26412,0.4576,5.3222
0.08,-0.29232,0.47709,5.3398
0.09,-0.28277,0.47761,5.3398
0.1,-0.27322,0.47813,5.3398
0.11,-0.26368,0.47865,5.3398
0.12,-0.25413,0.47917,5.3398
0.13,-0.24458,0.47969,5.3398
0.14,-0.23504,0.48021,5.3398
0.15,-0.22549,0.48073,5.3398
0.16,-0.22404,0.47832,5.3398
0.17,-0.22268,0.47587,5.3398
0.18,-0.22133,0.47342,5.3398
0.19,-0.21997,0.47097,5.3398
0.2,-0.21862,0.46852,5.3398
0.21,-0.21726,0.46608,5.3398
0.22,-0.21591,0.46363,5.3398
0.23,-0.21656,0.45978,5.3398
0.24,-0.21936,0.45443,5.3398
0.25,-0.22216,0.44908,5.3398
0.26,-0.22497,0.44373,5.3398
0.27,-0.22777,0.43839,5.3398
0.28,-0.23057,0.43304,5.3398
0.29,-0.23338,0.42769,5.3398
0.3,-0.23618,0.42234,5.3398
0.31,-0.24342,0.41395,5.3398
0.32,-0.25077,0.40549,5.3398
0.33,-0.25811,0.39703,5.3398
0.34,-0.26546,0.38858,5.3398
0.35,-0.27281,0.38012,5.3398
0.36,-0.28015,0.37166,5.3398
0.37,-0.2875,0.3632,5.3398
0.38,-0.29615,0.35361,5.3398
0.39,-0.30628,0.34275,5.3398
0.4,-0.31641,0.33189,5.3398
0.41,-0.32653,0.32103,5.3398
0.42,-0.33666,0.31018,5.3398
0.43,-0.34678,0.29932,5.3398
0.44,-0.35691,0.28846,5.3398
0.45,-0.36703,0.2776,5.3398
0.46,-0.37802,0.26613,5.3398
0.47,-0.38904,0.25465,5.3398
0.48,-0.40006,0.24316,5.3398
0.49,-0.41108,0.23167,5.3398
0.5,-0.4221,0.22018,5.3398
0.51,-0.43312,0.20869,5.3398
0.52,-0.44414,0.19721,5.3398
0.53,-0.45478,0.1862,5.3398
0.54,-0.46497,0.17578,5.3398
0.55,-0.47516,0.16535,5.3398
0.56,-0.48535,0.15492,5.3398
0.57,-0.49554,0.14449,5.3398
0.58,-0.50573,0.13407,5.3398
0.59,-0.51593,0.12364,5.3398
0.6,-0.52612,0.11321,5.3398
0.61,-0.53404,0.10438,5.3398
0.62,-0.54184,0.095635,5.3398
0.63,-0.54965,0.086886,5.3398
0.64,-0.55745,0.078138,5.3398
0.65,-0.56526,0.069389,5.3398
0.66,-0.57306,0.060641,5.3398
0.67,-0.58087,0.051892,5.3398
0.68,-0.58685,0.043768,5.3398
0.69,-0.59058,0.036416,5.3398
0.7,-0.59431,0.029063,5.3398
0.71,-0.59804,0.021711,5.3398
0.72,-0.60177,0.014358,5.3398
0.73,-0.6055,0.0070055,5.3398
0.74,-0.60923,-0.00034703,5.3398
0.75,-0.61296,-0.0076996,5.3398
0.76,-0.61101,-0.014495,5.3398
0.77,-0.60871,-0.021255,5.3398
0.78,-0.60641,-0.028016,5.3398
0.79,-0.6041,-0.034777,5.3398
0.8,-0.6018,-0.041537,5.3398
0.81,-0.5995,-0.048298,5.3398
0.82,-0.5972,-0.055058,5.3398
0.83,-0.59191,-0.061899,5.3398
0.84,-0.58275,-0.068844,5.3398
0.85,-0.57359,-0.075789,5.3398
0.86,-0.56443,-0.082734,5.3398
0.87,-0.55527,-0.089679,5.3398
0.88,-0.54611,-0.096624,5.3398
0.89,-0.53695,-0.10357,5.3398
0.9,-0.5278,-0.11051,5.3398
0.91,-0.5156,-0.11742,5.3398
0.92,-0.50318,-0.12432,5.3398
0.93,-0.49076,-0.13123,5.3398
0.94,-0.47834,-0.13813,5.3398
0.95,-0.46591,-0.14504,5.3398
0.96,-0.45349,-0.15194,5.3398
0.97,-0.44107,-0.15884,5.3398
0.98,-0.43007,-0.16539,5.3398
0.99,-0.421,-0.17143,5.3398
1,-0.41194,-0.17748,5.3398
1.01,-0.40287,-0.18353,5.3398
1.02,-0.3938,-0.18958,5.3398
1.03,-0.38474,-0.19563,5.3398
1.04,-0.37567,-0.20168,5.3398
1.05,-0.3666,-0.20773,5.3398
1.06,-0.3629,-0.21228,5.3398
1.07,-0.35968,-0.2167,5.3398
1.08,-0.35645,-0.22112,5.3398
1.09,-0.35322,-0.22555,5.3398
1.1,-0.35,-0.22997,5.3398
1.11,-0.34677,-0.23439,5.3398
1.12,-0.34355,-0.23881,5.3398
1.13,-0.34206,-0.24211,5.3398
1.14,-0.34305,-0.24382,5.3398
1.15,-0.34404,-0.24553,5.3398
1.16,-0.34502,-0.24724,5.3398
1.17,-0.34601,-0.24895,5.3398
1.18,-0.347,-0.25066,5.3398
1.19,-0.34799,-0.25237,5.3398
1.2,-0.34897,-0.25408,5.3398
1.21,-0.35271,-0.25174,5.3398
1.22,-0.35673,-0.24899,5.3398
1.23,-0.36075,-0.24623,5.3398
1.24,-0.36478,-0.24348,5.3398
1.25,-0.3688,-0.24073,5.3398
1.26,-0.37282,-0.23797,5.3398
1.27,-0.37684,-0.23522,5.3398
1.28,-0.38215,-0.2299,5.3398
1.29,-0.38938,-0.22076,5.3398
1.3,-0.39661,-0.21161,5.3398
1.31,-0.40384,-0.20247,5.3398
1.32,-0.41107,-0.19333,5.3398
1.33,-0.41831,-0.18418,5.3398
1.34,-0.42554,-0.17504,5.3398
1.35,-0.43277,-0.16589,5.3398
1.36,-0.44222,-0.15004,5.3398
1.37,-0.45193,-0.13341,5.3398
1.38,-0.46163,-0.11677,5.3398
1.39,-0.47134,-0.10014,5.3398
1.4,-0.48105,-0.083503,5.3398
1.41,-0.49076,-0.066868,5.3398
1.42,-0.50047,-0.050233,5.3398
1.43,-0.50993,-0.031271,5.3398
1.44,-0.51902,-0.008656,5.3398
1.45,-0.52811,0.013959,5.3398
1.46,-0.5372,0.036574,5.3398
1.47,-0.54629,0.059188,5.3398
1.48,-0.55538,0.081803,5.3398
1.49,-0.56446,0.10442,5.3398
1.5,-0.57355,0.12703,5.3398
1.51,-0.57868,0.15035,5.3398
1.52,-0.58328,0.17376,5.3398
1.53,-0.58789,0.19717,5.3398
1.54,-0.59249,0.22058,5.3398
1.55,-0.59709,0.24399,5.3398
1.56,-0.6017,0.26739,5.3398
1.57,-0.6063,0.2908,5.3398
1.58,-0.60795,0.31277,5.3398
1.59,-0.60473,0.33236,5.3398
1.6,-0.60151,0.35195,5.3398
1.61,-0.59829,0.37153,5.3398
1.62,-0.59507,0.39112,5.3398
1.63,-0.59185,0.41071,5.3398
1.64,-0.58863,0.4303,5.3398
1.65,-0.58541,0.44989,5.3398
1.66,-0.56966,0.46579,5.3398
1.67,-0.55206,0.48116,5.3398
1.68,-0.53447,0.49652,5.3398
1.69,-0.51687,0.51189,5.3398
1.7,-0.49928,0.52725,5.3398
1.71,-0.48168,0.54262,5.3398
1.72,-0.46409,0.55798,5.3398
1.73,-0.43695,0.57252,5.3398
1.74,-0.39327,0.58563,5.3398
1.75,-0.34959,0.59874,5.3398
1.76,-0.30591,0.61185,5.3398
1.77,-0.26224,0.62495,5.3398
1.78,-0.21856,0.63806,5.3398
1.79,-0.17488,0.65117,5.3398
1.8,-0.1312,0.66428,5.3398
1.81,-0.082254,0.67702,5.3398
1.82,-0.032447,0.68971,5.3398
1.83,0.017359,0.7024,5.3398
1.84,0.067166,0.71508,5.3398
1.85,0.11697,0.72777,5.3398
1.86,0.16678,0.74046,5.3398
1.87,0.21659,0.75314,5.3398
1.88,0.25774,0.76507,5.3398
1.89,0.28309,0.77561,5.3398
1.9,0.30845,0.78615,5.3398
1.91,0.33381,0.79669,5.3398
1.92,0.35917,0.80723,5.3398
1.93,0.38453,0.81777,5.3398
1.94,0.40989,0.82831,5.3398
1.95,0.43524,0.83885,5.3398
1.96,0.43926,0.8371,4.9562
1.97,0.43947,0.83314,4.5041
1.98,0.43967,0.82919,4.052
1.99,0.43987,0.82524,3.5999
2,0.44008,0.82129,3.1477
2.01,0.44028,0.81734,2.6956
2.02,0.44048,0.81339,2.2435
2.03,0.43726,0.7911,2.101
2.04,0.42747,0.73358,2.5531
2.05,0.41768,0.67606,3.0052
2.06,0.40789,0.61855,3.4574
2.07,0.39809,0.56103,3.9095
2.08,0.3883,0.50352,4.3616
2.09,0.37851,0.446,4.8137
2.1,0.36872,0.38848,5.2659
2.11,0.42149,0.37394,4.7446
2.12,0.48649,0.36778,4.0332
2.13,0.55149,0.36163,3.3218
2.14,0.6165,0.35547,2.6104
2.15,0.6815,0.34932,1.899
2.16,0.7465,0.34316,1.1875
2.17,0.8115,0.33701,0.47612
2.18,0.82576,0.32666,0.22383
2.19,0.73735,0.30781,0.90059
2.2,0.64894,0.28896,1.5774
2.21,0.56053,0.27011,2.2541
2.22,0.47212,0.25126,2.9309
2.23,0.38371,0.23241,3.6077
2.24,0.2953,0.21356,4.2844
2.25,0.20689,0.19471,4.9612
